ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description,Id
9.1.0-dev,TRUE,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.,field0001
9.1.0-dev,TRUE,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.,field0002
9.1.0-dev,TRUE,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.,field0003
9.1.0-dev,TRUE,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.,field0004
9.1.0-dev,TRUE,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.,field0005
9.1.0-dev,TRUE,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.,field0006
9.1.0-dev,TRUE,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.,field0007
9.1.0-dev,TRUE,agent,agent.name,keyword,core,,foo,Custom name of the agent.,field0008
9.1.0-dev,TRUE,agent,agent.type,keyword,core,,filebeat,Type of the agent.,field0009
9.1.0-dev,TRUE,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.,field0010
9.1.0-dev,TRUE,client,client.address,keyword,extended,,,Client network address.,field0011
9.1.0-dev,TRUE,client,client.as.number,long,extended,,15169,Unique number allocated to the autonomous system.,field0012
9.1.0-dev,TRUE,client,client.as.organization.name,keyword,extended,,Google LLC,Organization name.,field0013
9.1.0-dev,TRUE,client,client.as.organization.name.text,match_only_text,extended,,Google LLC,Organization name.,field0014
9.1.0-dev,TRUE,client,client.bytes,long,core,,184,Bytes sent from the client to the server.,field0015
9.1.0-dev,TRUE,client,client.domain,keyword,core,,foo.example.com,The domain name of the client.,field0016
9.1.0-dev,TRUE,client,client.geo.city_name,keyword,core,,Montreal,City name.,field0017
9.1.0-dev,TRUE,client,client.geo.continent_code,keyword,core,,NA,Continent code.,field0018
9.1.0-dev,TRUE,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.,field0019
9.1.0-dev,TRUE,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.,field0020
9.1.0-dev,TRUE,client,client.geo.country_name,keyword,core,,Canada,Country name.,field0021
9.1.0-dev,TRUE,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.,field0022
9.1.0-dev,TRUE,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.,field0023
9.1.0-dev,TRUE,client,client.geo.postal_code,keyword,core,,94040,Postal code.,field0024
9.1.0-dev,TRUE,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.,field0025
9.1.0-dev,TRUE,client,client.geo.region_name,keyword,core,,Quebec,Region name.,field0026
9.1.0-dev,TRUE,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.,field0027
9.1.0-dev,TRUE,client,client.ip,ip,core,,,IP address of the client.,field0028
9.1.0-dev,TRUE,client,client.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the client.,field0029
9.1.0-dev,TRUE,client,client.nat.ip,ip,extended,,,Client NAT ip address,field0030
9.1.0-dev,TRUE,client,client.nat.port,long,extended,,,Client NAT port,field0031
9.1.0-dev,TRUE,client,client.packets,long,core,,12,Packets sent from the client to the server.,field0032
9.1.0-dev,TRUE,client,client.port,long,core,,,Port of the client.,field0033
9.1.0-dev,TRUE,client,client.registered_domain,keyword,extended,,example.com,"The highest registered client domain, stripped of the subdomain.",field0034
9.1.0-dev,TRUE,client,client.subdomain,keyword,extended,,east,The subdomain of the domain.,field0035
9.1.0-dev,TRUE,client,client.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk).",field0036
9.1.0-dev,TRUE,client,client.user.domain,keyword,extended,,,Name of the directory the user is a member of.,field0037
9.1.0-dev,TRUE,client,client.user.email,keyword,extended,,,User email address.,field0038
9.1.0-dev,TRUE,client,client.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available.",field0039
9.1.0-dev,TRUE,client,client.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available.",field0040
9.1.0-dev,TRUE,client,client.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.,field0041
9.1.0-dev,TRUE,client,client.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.,field0042
9.1.0-dev,TRUE,client,client.user.group.name,keyword,extended,,,Name of the group.,field0043
9.1.0-dev,TRUE,client,client.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.,field0044
9.1.0-dev,TRUE,client,client.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.,field0045
9.1.0-dev,TRUE,client,client.user.name,keyword,core,,a.einstein,Short name or login of the user.,field0046
9.1.0-dev,TRUE,client,client.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.,field0047
9.1.0-dev,TRUE,client,client.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.,field0048
9.1.0-dev,TRUE,cloud,cloud.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0049
9.1.0-dev,TRUE,cloud,cloud.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0050
9.1.0-dev,TRUE,cloud,cloud.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0051
9.1.0-dev,TRUE,cloud,cloud.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0052
9.1.0-dev,TRUE,cloud,cloud.instance.name,keyword,extended,,,Instance name of the host machine.,field0053
9.1.0-dev,TRUE,cloud,cloud.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0054
9.1.0-dev,TRUE,cloud,cloud.origin.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0055
9.1.0-dev,TRUE,cloud,cloud.origin.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0056
9.1.0-dev,TRUE,cloud,cloud.origin.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0057
9.1.0-dev,TRUE,cloud,cloud.origin.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0058
9.1.0-dev,TRUE,cloud,cloud.origin.instance.name,keyword,extended,,,Instance name of the host machine.,field0059
9.1.0-dev,TRUE,cloud,cloud.origin.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0060
9.1.0-dev,TRUE,cloud,cloud.origin.project.id,keyword,extended,,my-project,The cloud project id.,field0061
9.1.0-dev,TRUE,cloud,cloud.origin.project.name,keyword,extended,,my project,The cloud project name.,field0062
9.1.0-dev,TRUE,cloud,cloud.origin.provider,keyword,extended,,aws,Name of the cloud provider.,field0063
9.1.0-dev,TRUE,cloud,cloud.origin.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0064
9.1.0-dev,TRUE,cloud,cloud.origin.service.name,keyword,extended,,lambda,The cloud service name.,field0065
9.1.0-dev,TRUE,cloud,cloud.project.id,keyword,extended,,my-project,The cloud project id.,field0066
9.1.0-dev,TRUE,cloud,cloud.project.name,keyword,extended,,my project,The cloud project name.,field0067
9.1.0-dev,TRUE,cloud,cloud.provider,keyword,extended,,aws,Name of the cloud provider.,field0068
9.1.0-dev,TRUE,cloud,cloud.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0069
9.1.0-dev,TRUE,cloud,cloud.service.name,keyword,extended,,lambda,The cloud service name.,field0070
9.1.0-dev,TRUE,cloud,cloud.target.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0071
9.1.0-dev,TRUE,cloud,cloud.target.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0072
9.1.0-dev,TRUE,cloud,cloud.target.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0073
9.1.0-dev,TRUE,cloud,cloud.target.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0074
9.1.0-dev,TRUE,cloud,cloud.target.instance.name,keyword,extended,,,Instance name of the host machine.,field0075
9.1.0-dev,TRUE,cloud,cloud.target.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0076
9.1.0-dev,TRUE,cloud,cloud.target.project.id,keyword,extended,,my-project,The cloud project id.,field0077
9.1.0-dev,TRUE,cloud,cloud.target.project.name,keyword,extended,,my project,The cloud project name.,field0078
9.1.0-dev,TRUE,cloud,cloud.target.provider,keyword,extended,,aws,Name of the cloud provider.,field0079
9.1.0-dev,TRUE,cloud,cloud.target.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0080
9.1.0-dev,TRUE,cloud,cloud.target.service.name,keyword,extended,,lambda,The cloud service name.,field0081
9.1.0-dev,TRUE,container,container.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1.",field0082
9.1.0-dev,TRUE,container,container.disk.read.bytes,long,extended,,,The number of bytes read by all disks.,field0083
9.1.0-dev,TRUE,container,container.disk.write.bytes,long,extended,,,The number of bytes written on all disks.,field0084
9.1.0-dev,TRUE,container,container.id,keyword,core,,,Unique container id.,field0085
9.1.0-dev,TRUE,container,container.image.hash.all,keyword,extended,array,[sha256:f8fefc80e3273dc756f288a63945820d6476ad64883892c771b5e2ece6bf1b26],An array of digests of the image the container was built on.,field0086
9.1.0-dev,TRUE,container,container.image.name,keyword,extended,,,Name of the image the container was built on.,field0087
9.1.0-dev,TRUE,container,container.image.tag,keyword,extended,array,,Container image tags.,field0088
9.1.0-dev,TRUE,container,container.labels,object,extended,,,Image labels.,field0089
9.1.0-dev,TRUE,container,container.memory.usage,scaled_float,extended,,,"Percent memory used, between 0 and 1.",field0090
9.1.0-dev,TRUE,container,container.name,keyword,extended,,,Container name.,field0091
9.1.0-dev,TRUE,container,container.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.,field0092
9.1.0-dev,TRUE,container,container.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.,field0093
9.1.0-dev,TRUE,container,container.runtime,keyword,extended,,docker,Runtime managing this container.,field0094
9.1.0-dev,TRUE,container,container.security_context.privileged,boolean,extended,,,Indicates whether the container is running in privileged mode.,field0095
9.1.0-dev,TRUE,data_stream,data_stream.dataset,constant_keyword,extended,,nginx.access,The field can contain anything that makes sense to signify the source of the data.,field0096
9.1.0-dev,TRUE,data_stream,data_stream.namespace,constant_keyword,extended,,production,A user defined namespace. Namespaces are useful to allow grouping of data.,field0097
9.1.0-dev,TRUE,data_stream,data_stream.type,constant_keyword,extended,,logs,An overarching type for the data stream.,field0098
9.1.0-dev,TRUE,destination,destination.address,keyword,extended,,,Destination network address.,field0099
9.1.0-dev,TRUE,destination,destination.as.number,long,extended,,15169,Unique number allocated to the autonomous system.,field0100
9.1.0-dev,TRUE,destination,destination.as.organization.name,keyword,extended,,Google LLC,Organization name.,field0101
9.1.0-dev,TRUE,destination,destination.as.organization.name.text,match_only_text,extended,,Google LLC,Organization name.,field0102
9.1.0-dev,TRUE,destination,destination.bytes,long,core,,184,Bytes sent from the destination to the source.,field0103
9.1.0-dev,TRUE,destination,destination.domain,keyword,core,,foo.example.com,The domain name of the destination.,field0104
9.1.0-dev,TRUE,destination,destination.geo.city_name,keyword,core,,Montreal,City name.,field0105
9.1.0-dev,TRUE,destination,destination.geo.continent_code,keyword,core,,NA,Continent code.,field0106
9.1.0-dev,TRUE,destination,destination.geo.continent_name,keyword,core,,North America,Name of the continent.,field0107
9.1.0-dev,TRUE,destination,destination.geo.country_iso_code,keyword,core,,CA,Country ISO code.,field0108
9.1.0-dev,TRUE,destination,destination.geo.country_name,keyword,core,,Canada,Country name.,field0109
9.1.0-dev,TRUE,destination,destination.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.,field0110
9.1.0-dev,TRUE,destination,destination.geo.name,keyword,extended,,boston-dc,User-defined description of a location.,field0111
9.1.0-dev,TRUE,destination,destination.geo.postal_code,keyword,core,,94040,Postal code.,field0112
9.1.0-dev,TRUE,destination,destination.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.,field0113
9.1.0-dev,TRUE,destination,destination.geo.region_name,keyword,core,,Quebec,Region name.,field0114
9.1.0-dev,TRUE,destination,destination.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.,field0115
9.1.0-dev,TRUE,destination,destination.ip,ip,core,,,IP address of the destination.,field0116
9.1.0-dev,TRUE,destination,destination.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the destination.,field0117
9.1.0-dev,TRUE,destination,destination.nat.ip,ip,extended,,,Destination NAT ip,field0118
9.1.0-dev,TRUE,destination,destination.nat.port,long,extended,,,Destination NAT Port,field0119
9.1.0-dev,TRUE,destination,destination.packets,long,core,,12,Packets sent from the destination to the source.,field0120
9.1.0-dev,TRUE,destination,destination.port,long,core,,,Port of the destination.,field0121
9.1.0-dev,TRUE,destination,destination.registered_domain,keyword,extended,,example.com,"The highest registered destination domain, stripped of the subdomain.",field0122
9.1.0-dev,TRUE,destination,destination.subdomain,keyword,extended,,east,The subdomain of the domain.,field0123
9.1.0-dev,TRUE,destination,destination.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk).",field0124
9.1.0-dev,TRUE,destination,destination.user.domain,keyword,extended,,,Name of the directory the user is a member of.,field0125
9.1.0-dev,TRUE,destination,destination.user.email,keyword,extended,,,User email address.,field0126
9.1.0-dev,TRUE,destination,destination.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available.",field0127
9.1.0-dev,TRUE,destination,destination.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available.",field0128
9.1.0-dev,TRUE,destination,destination.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.,field0129
9.1.0-dev,TRUE,destination,destination.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.,field0130
9.1.0-dev,TRUE,destination,destination.user.group.name,keyword,extended,,,Name of the group.,field0131
9.1.0-dev,TRUE,destination,destination.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.,field0132
9.1.0-dev,TRUE,destination,destination.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.,field0133
9.1.0-dev,TRUE,destination,destination.user.name,keyword,core,,a.einstein,Short name or login of the user.,field0134
9.1.0-dev,TRUE,destination,destination.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.,field0135
9.1.0-dev,TRUE,destination,destination.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.,field0136
9.1.0-dev,TRUE,device,device.id,keyword,extended,,00000000-54b3-e7c7-0000-000046bffd97,The unique identifier of a device.,field0137
9.1.0-dev,TRUE,device,device.manufacturer,keyword,extended,,Samsung,The vendor name of the device manufacturer.,field0138
9.1.0-dev,TRUE,device,device.model.identifier,keyword,extended,,SM-G920F,The machine readable identifier of the device model.,field0139
9.1.0-dev,TRUE,device,device.model.name,keyword,extended,,Samsung Galaxy S6,The human readable marketing name of the device model.,field0140
9.1.0-dev,TRUE,device,device.serial_number,keyword,core,,DJGAQS4CW5,Serial Number of the device,field0141
9.1.0-dev,TRUE,dll,dll.code_signature.digest_algorithm,keyword,extended,,sha256,Hashing algorithm used to sign the process.,field0142
9.1.0-dev,TRUE,dll,dll.code_signature.exists,boolean,core,,TRUE,Boolean to capture if a signature is present.,field0143
9.1.0-dev,TRUE,dll,dll.code_signature.flags,keyword,extended,,570522385,Code signing flags of the process,field0144
9.1.0-dev,TRUE,dll,dll.code_signature.signing_id,keyword,extended,,com.apple.xpc.proxy,The identifier used to sign the process.,field0145
9.1.0-dev,TRUE,dll,dll.code_signature.status,keyword,extended,,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.,field0146
9.1.0-dev,TRUE,dll,dll.code_signature.subject_name,keyword,core,,Microsoft Corporation,Subject name of the code signer,field0147
9.1.0-dev,TRUE,dll,dll.code_signature.team_id,keyword,extended,,EQHXZ8M8AV,The team identifier used to sign the process.,field0148
9.1.0-dev,TRUE,dll,dll.code_signature.thumbprint_sha256,keyword,extended,,c0f23a8eb1cba0ccaa88483b5a234c96e4bdfec719bf458024e68c2a8183476b,SHA256 hash of the certificate.,field0149
9.1.0-dev,TRUE,dll,dll.code_signature.timestamp,date,extended,,2021-01-01T12:10:30Z,When the signature was generated and signed.,field0150
9.1.0-dev,TRUE,dll,dll.code_signature.trusted,boolean,extended,,TRUE,Stores the trust status of the certificate chain.,field0151
9.1.0-dev,TRUE,dll,dll.code_signature.valid,boolean,extended,,TRUE,Boolean to capture if the digital signature is verified against the binary content.,field0152
9.1.0-dev,TRUE,dll,dll.hash.cdhash,keyword,extended,,3783b4052fd474dbe30676b45c329e7a6d44acd9,The Code Directory (CD) hash of an executable.,field0153
9.1.0-dev,TRUE,dll,dll.hash.md5,keyword,extended,,,MD5 hash.,field0154
9.1.0-dev,TRUE,dll,dll.hash.sha1,keyword,extended,,,SHA1 hash.,field0155
9.1.0-dev,TRUE,dll,dll.hash.sha256,keyword,extended,,,SHA256 hash.,field0156
9.1.0-dev,TRUE,dll,dll.hash.sha384,keyword,extended,,,SHA384 hash.,field0157
9.1.0-dev,TRUE,dll,dll.hash.sha512,keyword,extended,,,SHA512 hash.,field0158
9.1.0-dev,TRUE,dll,dll.hash.ssdeep,keyword,extended,,,SSDEEP hash.,field0159
9.1.0-dev,TRUE,dll,dll.hash.tlsh,keyword,extended,,,TLSH hash.,field0160
9.1.0-dev,TRUE,dll,dll.name,keyword,core,,kernel32.dll,Name of the library.,field0161
9.1.0-dev,TRUE,dll,dll.origin_referrer_url,keyword,extended,,http://example.com/article1.html,The URL of the webpage that linked to the dll file.,field0162
9.1.0-dev,TRUE,dll,dll.origin_url,keyword,extended,,http://example.com/files/example.dll,The URL where the dll file is hosted.,field0163
9.1.0-dev,TRUE,dll,dll.path,keyword,extended,,C:\Windows\System32\kernel32.dll,Full file path of the library.,field0164
9.1.0-dev,TRUE,dll,dll.pe.architecture,keyword,extended,,x64,CPU architecture target for the file.,field0165
9.1.0-dev,TRUE,dll,dll.pe.company,keyword,extended,,Microsoft Corporation,"Internal company name of the file, provided at compile-time.",field0166
9.1.0-dev,TRUE,dll,dll.pe.description,keyword,extended,,Paint,"Internal description of the file, provided at compile-time.",field0167
9.1.0-dev,TRUE,dll,dll.pe.file_version,keyword,extended,,6.3.9600.17415,Process name.,field0168
9.1.0-dev,TRUE,dll,dll.pe.go_import_hash,keyword,extended,,10bddcb4cee42080f76c88d9ff964491,A hash of the Go language imports in a PE file.,field0169
9.1.0-dev,TRUE,dll,dll.pe.go_imports,flattened,extended,,,List of imported Go language element names and types.,field0170
9.1.0-dev,TRUE,dll,dll.pe.go_imports_names_entropy,long,extended,,,Shannon entropy calculation from the list of Go imports.,field0171
9.1.0-dev,TRUE,dll,dll.pe.go_imports_names_var_entropy,long,extended,,,Variance for Shannon entropy calculation from the list of Go imports.,field0172
9.1.0-dev,TRUE,dll,dll.pe.go_stripped,boolean,extended,,,Whether the file is a stripped or obfuscated Go executable.,field0173
9.1.0-dev,TRUE,dll,dll.pe.imphash,keyword,extended,,0c6803c4e922103c4dca5963aad36ddf,A hash of the imports in a PE file.,field0174
9.1.0-dev,TRUE,dll,dll.pe.import_hash,keyword,extended,,d41d8cd98f00b204e9800998ecf8427e,A hash of the imports in a PE file.,field0175
9.1.0-dev,TRUE,dll,dll.pe.imports,flattened,extended,array,,List of imported element names and types.,field0176
9.1.0-dev,TRUE,dll,dll.pe.imports_names_entropy,long,extended,,,Shannon entropy calculation from the list of imported element names and types.,field0177
9.1.0-dev,TRUE,dll,dll.pe.imports_names_var_entropy,long,extended,,,Variance for Shannon entropy calculation from the list of imported element names and types.,field0178
9.1.0-dev,TRUE,dll,dll.pe.original_file_name,keyword,extended,,MSPAINT.EXE,"Internal name of the file, provided at compile-time.",field0179
9.1.0-dev,TRUE,dll,dll.pe.pehash,keyword,extended,,73ff189b63cd6be375a7ff25179a38d347651975,A hash of the PE header and data from one or more PE sections.,field0180
9.1.0-dev,TRUE,dll,dll.pe.product,keyword,extended,,Microsoft® Windows® Operating System,"Internal product name of the file, provided at compile-time.",field0181
9.1.0-dev,TRUE,dll,dll.pe.sections,nested,extended,array,,Section information of the PE file.,field0182
9.1.0-dev,TRUE,dll,dll.pe.sections.entropy,long,extended,,,Shannon entropy calculation from the section.,field0183
9.1.0-dev,TRUE,dll,dll.pe.sections.name,keyword,extended,,,PE Section List name.,field0184
9.1.0-dev,TRUE,dll,dll.pe.sections.physical_size,long,extended,,,PE Section List physical size.,field0185
9.1.0-dev,TRUE,dll,dll.pe.sections.var_entropy,long,extended,,,Variance for Shannon entropy calculation from the section.,field0186
9.1.0-dev,TRUE,dll,dll.pe.sections.virtual_size,long,extended,,,PE Section List virtual size. This is always the same as `physical_size`.,field0187
9.1.0-dev,TRUE,dns,dns.answers,object,extended,array,,Array of DNS answers.,field0188
9.1.0-dev,TRUE,dns,dns.answers.class,keyword,extended,,IN,The class of DNS data contained in this resource record.,field0189
9.1.0-dev,TRUE,dns,dns.answers.data,keyword,extended,,10.10.10.10,The data describing the resource.,field0190
9.1.0-dev,TRUE,dns,dns.answers.name,keyword,extended,,www.example.com,The domain name to which this resource record pertains.,field0191
9.1.0-dev,TRUE,dns,dns.answers.ttl,long,extended,,180,The time interval in seconds that this resource record may be cached before it should be discarded.,field0192
9.1.0-dev,TRUE,dns,dns.answers.type,keyword,extended,,CNAME,The type of data contained in this resource record.,field0193
9.1.0-dev,TRUE,dns,dns.header_flags,keyword,extended,array,"[""RD"", ""RA""]",Array of DNS header flags.,field0194
9.1.0-dev,TRUE,dns,dns.id,keyword,extended,,62111,The DNS packet identifier assigned by the program that generated the query. The identifier is copied to the response.,field0195
9.1.0-dev,TRUE,dns,dns.op_code,keyword,extended,,QUERY,The DNS operation code that specifies the kind of query in the message.,field0196
9.1.0-dev,TRUE,dns,dns.question.class,keyword,extended,,IN,The class of records being queried.,field0197
9.1.0-dev,TRUE,dns,dns.question.name,keyword,extended,,www.example.com,The name being queried.,field0198
9.1.0-dev,TRUE,dns,dns.question.registered_domain,keyword,extended,,example.com,"The highest registered domain, stripped of the subdomain.",field0199
9.1.0-dev,TRUE,dns,dns.question.subdomain,keyword,extended,,www,The subdomain of the domain.,field0200
9.1.0-dev,TRUE,dns,dns.question.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk).",field0201
9.1.0-dev,TRUE,dns,dns.question.type,keyword,extended,,AAAA,The type of record being queried.,field0202
9.1.0-dev,TRUE,dns,dns.resolved_ip,ip,extended,array,"[""10.10.10.10"", ""10.10.10.11""]",Array containing all IPs seen in answers.data,field0203
9.1.0-dev,TRUE,dns,dns.response_code,keyword,extended,,NOERROR,The DNS response code.,field0204
9.1.0-dev,TRUE,dns,dns.type,keyword,extended,,answer,"The type of DNS event captured, query or answer.",field0205
9.1.0-dev,TRUE,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.,field0206
9.1.0-dev,TRUE,email,email.attachments,nested,extended,array,,List of objects describing the attachments.,field0207
9.1.0-dev,TRUE,email,email.attachments.file.extension,keyword,extended,,txt,Attachment file extension.,field0208
9.1.0-dev,TRUE,email,email.attachments.file.hash.cdhash,keyword,extended,,3783b4052fd474dbe30676b45c329e7a6d44acd9,The Code Directory (CD) hash of an executable.,field0209
9.1.0-dev,TRUE,email,email.attachments.file.hash.md5,keyword,extended,,,MD5 hash.,field0210
9.1.0-dev,TRUE,email,email.attachments.file.hash.sha1,keyword,extended,,,SHA1 hash.,field0211
9.1.0-dev,TRUE,email,email.attachments.file.hash.sha256,keyword,extended,,,SHA256 hash.,field0212
9.1.0-dev,TRUE,email,email.attachments.file.hash.sha384,keyword,extended,,,SHA384 hash.,field0213
9.1.0-dev,TRUE,email,email.attachments.file.hash.sha512,keyword,extended,,,SHA512 hash.,field0214
9.1.0-dev,TRUE,email,email.attachments.file.hash.ssdeep,keyword,extended,,,SSDEEP hash.,field0215
9.1.0-dev,TRUE,email,email.attachments.file.hash.tlsh,keyword,extended,,,TLSH hash.,field0216
9.1.0-dev,TRUE,email,email.attachments.file.mime_type,keyword,extended,,text/plain,MIME type of the attachment file.,field0217
9.1.0-dev,TRUE,email,email.attachments.file.name,keyword,extended,,attachment.txt,Name of the attachment file.,field0218
9.1.0-dev,TRUE,email,email.attachments.file.size,long,extended,,64329,Attachment file size.,field0219
9.1.0-dev,TRUE,email,email.bcc.address,keyword,extended,array,bcc.user1@example.com,Email address of BCC recipient,field0220
9.1.0-dev,TRUE,email,email.cc.address,keyword,extended,array,cc.user1@example.com,Email address of CC recipient,field0221
9.1.0-dev,TRUE,email,email.content_type,keyword,extended,,text/plain,MIME type of the email message.,field0222
9.1.0-dev,TRUE,email,email.delivery_timestamp,date,extended,,2020-11-10T22:12:34.8196921Z,Date and time when message was delivered.,field0223
9.1.0-dev,TRUE,email,email.direction,keyword,extended,,inbound,Direction of the message.,field0224
9.1.0-dev,TRUE,email,email.from.address,keyword,extended,array,sender@example.com,The sender's email address.,field0225
9.1.0-dev,TRUE,email,email.local_id,keyword,extended,,c26dbea0-80d5-463b-b93c-4e8b708219ce,Unique identifier given by the source.,field0226
9.1.0-dev,TRUE,email,email.message_id,wildcard,extended,,81ce15$8r2j59@mail01.example.com,Value from the Message-ID header.,field0227
9.1.0-dev,TRUE,email,email.origination_timestamp,date,extended,,2020-11-10T22:12:34.8196921Z,Date and time the email was composed.,field0228
9.1.0-dev,TRUE,email,email.reply_to.address,keyword,extended,array,reply.here@example.com,Address replies should be delivered to.,field0229
9.1.0-dev,TRUE,email,email.sender.address,keyword,extended,,,Address of the message sender.,field0230
9.1.0-dev,TRUE,email,email.subject,keyword,extended,,Please see this important message.,The subject of the email message.,field0231
9.1.0-dev,TRUE,email,email.subject.text,match_only_text,extended,,Please see this important message.,The subject of the email message.,field0232
9.1.0-dev,TRUE,email,email.to.address,keyword,extended,array,user1@example.com,Email address of recipient,field0233
9.1.0-dev,TRUE,email,email.x_mailer,keyword,extended,,Spambot v2.5,Application that drafted email.,field0234
9.1.0-dev,TRUE,error,error.code,keyword,core,,,Error code describing the error.,field0235
9.1.0-dev,TRUE,error,error.id,keyword,core,,,Unique identifier for the error.,field0236
9.1.0-dev,TRUE,error,error.message,match_only_text,core,,,Error message.,field0237
9.1.0-dev,TRUE,error,error.stack_trace,wildcard,extended,,,The stack trace of this error in plain text.,field0238
9.1.0-dev,TRUE,error,error.stack_trace.text,match_only_text,extended,,,The stack trace of this error in plain text.,field0239
9.1.0-dev,TRUE,error,error.type,keyword,extended,,java.lang.NullPointerException,"The type of the error, for example the class name of the exception.",field0240
9.1.0-dev,TRUE,event,event.action,keyword,core,,user-password-change,The action captured by the event.,field0241
9.1.0-dev,TRUE,event,event.agent_id_status,keyword,extended,,verified,Validation status of the event's agent.id field.,field0242
9.1.0-dev,TRUE,event,event.category,keyword,core,array,authentication,Event category. The second categorization field in the hierarchy.,field0243
9.1.0-dev,TRUE,event,event.code,keyword,extended,,4648,Identification code for this event.,field0244
9.1.0-dev,TRUE,event,event.created,date,core,,2016-05-23T08:05:34.857Z,Time when the event was first read by an agent or by your pipeline.,field0245
9.1.0-dev,TRUE,event,event.dataset,keyword,core,,apache.access,Name of the dataset.,field0246
9.1.0-dev,TRUE,event,event.duration,long,core,,,Duration of the event in nanoseconds.,field0247
9.1.0-dev,TRUE,event,event.end,date,extended,,,`event.end` contains the date when the event ended or when the activity was last observed.,field0248
